STATISTIC Label,Year,Component,UNIT,VALUE
Annual Population Change,2010,Immigrants,Thousand,41.8
Annual Population Change,2011,Immigrants,Thousand,53.3
Annual Population Change,2012,Immigrants,Thousand,57.3
Annual Population Change,2013,Immigrants,Thousand,62.7
Annual Population Change,2014,Immigrants,Thousand,66.5
Annual Population Change,2015,Immigrants,Thousand,75.9
Annual Population Change,2016,Immigrants,Thousand,82.3
Annual Population Change,2017,Immigrants,Thousand,95.3
Annual Population Change,2018,Immigrants,Thousand,96
Annual Population Change,2019,Immigrants,Thousand,97.1
Annual Population Change,2020,Immigrants,Thousand,95.6
Annual Population Change,2021,Immigrants,Thousand,74.1
Annual Population Change,2022,Immigrants,Thousand,107.8
Annual Population Change,2023,Immigrants,Thousand,141.6
