"Statistic Label","CensusYear","County and City","UNIT","VALUE"
"Persons in private households","2011","State","Number","4510409"
"Persons in private households","2011","Carlow","Number","54187"
"Persons in private households","2011","Dublin City","Number","499659"
"Persons in private households","2011","Dún Laoghaire-Rathdown","Number","202594"
"Persons in private households","2011","Fingal","Number","271958"
"Persons in private households","2011","South Dublin","Number","263723"
"Persons in private households","2011","Kildare","Number","208522"
"Persons in private households","2011","Kilkenny","Number","94342"
"Persons in private households","2011","Laois","Number","79751"
"Persons in private households","2011","Longford","Number","38986"
"Persons in private households","2011","Louth","Number","122339"
"Persons in private households","2011","Meath","Number","184336"
"Persons in private households","2011","Offaly","Number","76274"
"Persons in private households","2011","Westmeath","Number","84869"
"Persons in private households","2011","Wexford","Number","144349"
"Persons in private households","2011","Wicklow","Number","135259"
"Persons in private households","2011","Clare","Number","115587"
"Persons in private households","2011","Cork City and Cork County","Number","512300"
"Persons in private households","2011","Kerry","Number","140975"
"Persons in private households","2011","Limerick City and County","Number","187560"
"Persons in private households","2011","Tipperary","Number","158089"
"Persons in private households","2011","Waterford City and County","Number","112261"
"Persons in private households","2011","Galway City","Number","70918"
"Persons in private households","2011","Galway County","Number","172308"
"Persons in private households","2011","Leitrim","Number","31556"
"Persons in private households","2011","Mayo","Number","128492"
"Persons in private households","2011","Roscommon","Number","63311"
"Persons in private households","2011","Sligo","Number","63667"
"Persons in private households","2011","Cavan","Number","72625"
"Persons in private households","2011","Donegal","Number","159139"
"Persons in private households","2011","Monaghan","Number","60473"
"Persons in private households","2016","State","Number","4676648"
"Persons in private households","2016","Carlow","Number","56609"
"Persons in private households","2016","Dublin City","Number","525229"
"Persons in private households","2016","Dún Laoghaire-Rathdown","Number","213468"
"Persons in private households","2016","Fingal","Number","292989"
"Persons in private households","2016","South Dublin","Number","277168"
"Persons in private households","2016","Kildare","Number","220923"
"Persons in private households","2016","Kilkenny","Number","97536"
"Persons in private households","2016","Laois","Number","83534"
"Persons in private households","2016","Longford","Number","40775"
"Persons in private households","2016","Louth","Number","127751"
"Persons in private households","2016","Meath","Number","194400"
"Persons in private households","2016","Offaly","Number","77755"
"Persons in private households","2016","Westmeath","Number","87887"
"Persons in private households","2016","Wexford","Number","148331"
"Persons in private households","2016","Wicklow","Number","140978"
"Persons in private households","2016","Clare","Number","116920"
"Persons in private households","2016","Cork City and Cork County","Number","535042"
"Persons in private households","2016","Kerry","Number","141596"
"Persons in private households","2016","Limerick City and County","Number","192184"
"Persons in private households","2016","Tipperary","Number","158933"
"Persons in private households","2016","Waterford City and County","Number","114402"
"Persons in private households","2016","Galway City","Number","74376"
"Persons in private households","2016","Galway County","Number","177145"
"Persons in private households","2016","Leitrim","Number","31721"
"Persons in private households","2016","Mayo","Number","127767"
"Persons in private households","2016","Roscommon","Number","63684"
"Persons in private households","2016","Sligo","Number","63656"
"Persons in private households","2016","Cavan","Number","75285"
"Persons in private households","2016","Donegal","Number","157276"
"Persons in private households","2016","Monaghan","Number","61328"
"Persons in private households","2022","State","Number","5046681"
"Persons in private households","2022","Carlow","Number","61546"
"Persons in private households","2022","Dublin City","Number","560493"
"Persons in private households","2022","Dún Laoghaire-Rathdown","Number","230782"
"Persons in private households","2022","Fingal","Number","325642"
"Persons in private households","2022","South Dublin","Number","298125"
"Persons in private households","2022","Kildare","Number","246285"
"Persons in private households","2022","Kilkenny","Number","102286"
"Persons in private households","2022","Laois","Number","90499"
"Persons in private households","2022","Longford","Number","43920"
"Persons in private households","2022","Louth","Number","138449"
"Persons in private households","2022","Meath","Number","220042"
"Persons in private households","2022","Offaly","Number","82142"
"Persons in private households","2022","Westmeath","Number","94663"
"Persons in private households","2022","Wexford","Number","161526"
"Persons in private households","2022","Wicklow","Number","153794"
"Persons in private households","2022","Clare","Number","124129"
"Persons in private households","2022","Cork City and Cork County","Number","575441"
"Persons in private households","2022","Kerry","Number","150149"
"Persons in private households","2022","Limerick City and County","Number","206192"
"Persons in private households","2022","Tipperary","Number","166458"
"Persons in private households","2022","Waterford City and County","Number","125355"
"Persons in private households","2022","Galway City","Number","80918"
"Persons in private households","2022","Galway County","Number","190961"
"Persons in private households","2022","Leitrim","Number","34808"
"Persons in private households","2022","Mayo","Number","135129"
"Persons in private households","2022","Roscommon","Number","69079"
"Persons in private households","2022","Sligo","Number","68189"
"Persons in private households","2022","Cavan","Number","80749"
"Persons in private households","2022","Donegal","Number","164501"
"Persons in private households","2022","Monaghan","Number","64429"
