,Quarter,County,Price_count,Price_min,Price_mean,Price_max,Price_median,Price_25p,Price_75p,Price_90p,immigrants,private_households,persons_private_households,household_values,investment_country,gdp_growth,gdp_growth_based,gdp_values,population,infliation,infliation_based,unemployment,unemployment_based
0,2010-Q1,Carlow,40,35000,171800.45,290000,169581.0,125250.0,223125.0,266400.0,41800.0,19436,54187,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
1,2010-Q1,Cavan,61,30000,150616.4262295082,320000,136500.0,114537.0,189779.0,220000.0,41800.0,25818,72625,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
2,2010-Q1,Clare,76,22500,196579.25,450000,179250.0,138518.75,230500.0,340299.0,41800.0,42648,115587,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
3,2010-Q1,Cork,463,5250,257476.31533477321,4563876,230000.0,170000.0,295000.0,383200.00000000006,41800.0,188019,512300,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
4,2010-Q1,Donegal,128,20000,164544.609375,750000,156092.5,105544.5,197125.0,246500.0,41800.0,57964,159139,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
5,2010-Q1,Dublin,1431,6000,343225.6708595388,6010195,277533.0,205000.0,385000.0,585000.0,41800.0,90019,263723,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
6,2010-Q1,Galway,204,20000,236726.181372549,1408000,206500.0,148875.0,270500.0,370000.0,41800.0,27726,70918,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
7,2010-Q1,Kerry,132,22000,193095.58333333334,1378724,180000.0,125000.0,227000.0,274812.7,41800.0,53306,140975,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
8,2010-Q1,Kildare,206,20000,265109.6990291262,2325000,243250.0,184685.75,300000.0,400000.0,41800.0,70763,208522,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
9,2010-Q1,Kilkenny,59,10000,198658.38983050847,435000,185023.0,147500.0,250000.0,300000.0,41800.0,33679,94342,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
10,2010-Q1,Laois,77,6000,170204.0909090909,575000,158589.0,120000.0,205000.0,282000.0,41800.0,28020,79751,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
11,2010-Q1,Leitrim,18,65000,128986.88888888889,248000,122500.0,94125.0,140226.75,198500.00000000003,41800.0,12308,31556,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
12,2010-Q1,Limerick,151,6810,198076.19867549668,1391333,160000.0,120000.0,225000.0,339207.0,41800.0,69649,187560,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
13,2010-Q1,Longford,26,70485,147357.0,315000,144889.5,95000.0,169350.0,230000.0,41800.0,14453,38986,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
14,2010-Q1,Louth,134,23000,224648.41044776118,1108356,196250.0,129250.0,284000.0,387665.0,41800.0,43972,122339,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
15,2010-Q1,Mayo,77,20000,163640.2857142857,472000,145000.0,110000.0,187500.0,277000.0,41800.0,48070,128492,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
16,2010-Q1,Meath,164,15000,222876.98170731709,870000,210286.0,165000.0,265000.0,310000.0,41800.0,62201,184336,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
17,2010-Q1,Monaghan,52,32000,197179.53846153847,1654800,179191.0,118931.5,210516.0,279300.0,41800.0,21264,60473,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
18,2010-Q1,Offaly,47,39000,148422.4255319149,555000,142000.0,98755.5,182500.0,210999.99999999997,41800.0,26750,76274,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
19,2010-Q1,Roscommon,60,5500,141365.9,352422,142798.5,80000.0,183772.75,235500.0,41800.0,23672,63311,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
20,2010-Q1,Sligo,53,12000,180911.0,835000,160000.0,116955.0,210000.0,272000.00000000006,41800.0,24525,63667,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
21,2010-Q1,Tipperary,117,15000,161691.1965811966,392596,160000.0,115000.0,212000.0,257900.00000000006,41800.0,58497,158089,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
22,2010-Q1,Waterford,98,18000,190048.91836734695,600000,175000.0,126250.0,230000.0,295000.0,41800.0,42335,112261,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
23,2010-Q1,Westmeath,71,18750,171976.1971830986,465000,158000.0,113750.0,196500.0,301500.0,41800.0,30739,84869,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
24,2010-Q1,Wexford,149,25000,193780.93959731545,1500000,170000.0,122727.0,225000.0,290149.60000000003,41800.0,52652,144349,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
25,2010-Q1,Wicklow,127,7500,302954.1811023622,1395000,265000.0,196500.0,346750.0,479000.00000000006,41800.0,47798,135259,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
26,2010-Q2,Carlow,44,20000,179575.79545454544,545000,170750.0,129250.0,220000.0,280000.0,41800.0,19436,54187,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
