"Statistic Label","CensusYear","County and City","UNIT","VALUE"
"Private households","2011","State","Number","1654208"
"Private households","2011","Carlow","Number","19436"
"Private households","2011","Dublin City","Number","208008"
"Private households","2011","Dún Laoghaire-Rathdown","Number","75819"
"Private households","2011","Fingal","Number","93146"
"Private households","2011","South Dublin","Number","90019"
"Private households","2011","Kildare","Number","70763"
"Private households","2011","Kilkenny","Number","33679"
"Private households","2011","Laois","Number","28020"
"Private households","2011","Longford","Number","14453"
"Private households","2011","Louth","Number","43972"
"Private households","2011","Meath","Number","62201"
"Private households","2011","Offaly","Number","26750"
"Private households","2011","Westmeath","Number","30739"
"Private households","2011","Wexford","Number","52652"
"Private households","2011","Wicklow","Number","47798"
"Private households","2011","Clare","Number","42648"
"Private households","2011","Cork City and Cork County","Number","188019"
"Private households","2011","Kerry","Number","53306"
"Private households","2011","Limerick City and County","Number","69649"
"Private households","2011","Tipperary","Number","58497"
"Private households","2011","Waterford City and County","Number","42335"
"Private households","2011","Galway City","Number","27726"
"Private households","2011","Galway County","Number","60952"
"Private households","2011","Leitrim","Number","12308"
"Private households","2011","Mayo","Number","48070"
"Private households","2011","Roscommon","Number","23672"
"Private households","2011","Sligo","Number","24525"
"Private households","2011","Cavan","Number","25818"
"Private households","2011","Donegal","Number","57964"
"Private households","2011","Monaghan","Number","21264"
"Private households","2016","State","Number","1702289"
"Private households","2016","Carlow","Number","20537"
"Private households","2016","Dublin City","Number","211747"
"Private households","2016","Dún Laoghaire-Rathdown","Number","78601"
"Private households","2016","Fingal","Number","96812"
"Private households","2016","South Dublin","Number","92523"
"Private households","2016","Kildare","Number","73596"
"Private households","2016","Kilkenny","Number","34855"
"Private households","2016","Laois","Number","29107"
"Private households","2016","Longford","Number","15122"
"Private households","2016","Louth","Number","45448"
"Private households","2016","Meath","Number","64234"
"Private households","2016","Offaly","Number","27343"
"Private households","2016","Westmeath","Number","31813"
"Private households","2016","Wexford","Number","54289"
"Private households","2016","Wicklow","Number","49211"
"Private households","2016","Clare","Number","43469"
"Private households","2016","Cork City and Cork County","Number","195853"
"Private households","2016","Kerry","Number","54493"
"Private households","2016","Limerick City and County","Number","71224"
"Private households","2016","Tipperary","Number","59276"
"Private households","2016","Waterford City and County","Number","43549"
"Private households","2016","Galway City","Number","28859"
"Private households","2016","Galway County","Number","63040"
"Private households","2016","Leitrim","Number","12452"
"Private households","2016","Mayo","Number","48899"
"Private households","2016","Roscommon","Number","24013"
"Private households","2016","Sligo","Number","24831"
"Private households","2016","Cavan","Number","26899"
"Private households","2016","Donegal","Number","58505"
"Private households","2016","Monaghan","Number","21689"
"Private households","2022","State","Number","1841152"
"Private households","2022","Carlow","Number","22238"
"Private households","2022","Dublin City","Number","225685"
"Private households","2022","Dún Laoghaire-Rathdown","Number","85128"
"Private households","2022","Fingal","Number","107846"
"Private households","2022","South Dublin","Number","100364"
"Private households","2022","Kildare","Number","82793"
"Private households","2022","Kilkenny","Number","36787"
"Private households","2022","Laois","Number","31232"
"Private households","2022","Longford","Number","16229"
"Private households","2022","Louth","Number","49424"
"Private households","2022","Meath","Number","72977"
"Private households","2022","Offaly","Number","28923"
"Private households","2022","Westmeath","Number","34087"
"Private households","2022","Wexford","Number","59389"
"Private households","2022","Wicklow","Number","54211"
"Private households","2022","Clare","Number","46553"
"Private households","2022","Cork City and Cork County","Number","211362"
"Private households","2022","Kerry","Number","58317"
"Private households","2022","Limerick City and County","Number","76472"
"Private households","2022","Tipperary","Number","62232"
"Private households","2022","Waterford City and County","Number","47778"
"Private households","2022","Galway City","Number","30901"
"Private households","2022","Galway County","Number","68021"
"Private households","2022","Leitrim","Number","13630"
"Private households","2022","Mayo","Number","52114"
"Private households","2022","Roscommon","Number","26021"
"Private households","2022","Sligo","Number","26855"
"Private households","2022","Cavan","Number","28845"
"Private households","2022","Donegal","Number","61780"
"Private households","2022","Monaghan","Number","22958"
